# 1 represents the best performance, 0 represents not the best performance. 

instance,sms,nsga,mole
Bi-Objective BBOB_2_39_10,1,1,0
Bi-Objective BBOB_2_39_2,1,1,0
Bi-Objective BBOB_2_39_3,1,1,0
Bi-Objective BBOB_2_39_4,1,1,0
Bi-Objective BBOB_2_39_5,1,1,0
Bi-Objective BBOB_2_39_6,0,1,0
Bi-Objective BBOB_2_39_7,0,1,0
Bi-Objective BBOB_2_39_8,1,1,0
Bi-Objective BBOB_2_39_9,0,1,0
Bi-Objective BBOB_2_4_1,1,0,0
Bi-Objective BBOB_2_4_10,1,0,0
Bi-Objective BBOB_2_4_2,1,0,0
Bi-Objective BBOB_2_4_3,1,0,0
Bi-Objective BBOB_2_4_4,1,0,0
Bi-Objective BBOB_2_4_5,1,0,0
Bi-Objective BBOB_2_4_6,1,0,0
Bi-Objective BBOB_2_4_7,1,0,0
Bi-Objective BBOB_2_4_8,1,0,0
Bi-Objective BBOB_2_4_9,1,0,0
Bi-Objective BBOB_2_40_1,0,1,0
Bi-Objective BBOB_2_40_10,1,1,0
Bi-Objective BBOB_2_40_2,1,1,0
Bi-Objective BBOB_2_40_3,0,1,0
Bi-Objective BBOB_2_40_4,0,1,0
Bi-Objective BBOB_2_40_5,1,0,0
Bi-Objective BBOB_2_40_6,0,1,0
Bi-Objective BBOB_2_40_7,1,1,0
Bi-Objective BBOB_2_40_8,0,1,0
Bi-Objective BBOB_2_40_9,1,1,0
Bi-Objective BBOB_2_41_1,1,0,0
Bi-Objective BBOB_2_41_10,1,0,0
Bi-Objective BBOB_2_41_2,1,0,0
Bi-Objective BBOB_2_41_3,1,0,0
Bi-Objective BBOB_2_41_4,1,0,0
Bi-Objective BBOB_2_41_5,1,0,0
Bi-Objective BBOB_2_41_6,1,0,0
Bi-Objective BBOB_2_41_7,1,0,0
Bi-Objective BBOB_2_41_8,1,0,0
Bi-Objective BBOB_2_41_9,1,0,0
Bi-Objective BBOB_2_42_1,1,1,0
Bi-Objective BBOB_2_42_10,1,1,0
Bi-Objective BBOB_2_42_2,1,1,0
Bi-Objective BBOB_2_42_3,1,0,0
Bi-Objective BBOB_2_42_4,1,1,0
Bi-Objective BBOB_2_42_5,1,1,0
Bi-Objective BBOB_2_42_6,1,1,0
Bi-Objective BBOB_2_42_7,1,1,0
Bi-Objective BBOB_2_42_8,1,0,0
Bi-Objective BBOB_2_42_9,1,1,0
Bi-Objective BBOB_2_43_1,1,1,0
Bi-Objective BBOB_2_43_10,1,1,0
Bi-Objective BBOB_2_43_2,1,1,0
Bi-Objective BBOB_2_43_3,1,1,0
Bi-Objective BBOB_2_43_4,1,0,0
Bi-Objective BBOB_2_43_5,1,1,0
Bi-Objective BBOB_2_43_6,1,0,0
Bi-Objective BBOB_2_43_7,1,0,0
Bi-Objective BBOB_2_43_8,1,0,0
Bi-Objective BBOB_2_43_9,1,0,0
Bi-Objective BBOB_2_44_1,1,0,0
Bi-Objective BBOB_2_44_10,1,1,0
Bi-Objective BBOB_2_44_2,1,0,0
Bi-Objective BBOB_2_44_3,1,0,0
Bi-Objective BBOB_2_44_4,1,0,0
Bi-Objective BBOB_2_44_5,1,1,0
Bi-Objective BBOB_2_44_6,1,0,0
Bi-Objective BBOB_2_44_7,1,0,0
Bi-Objective BBOB_2_44_8,1,1,0
Bi-Objective BBOB_2_44_9,1,0,0
Bi-Objective BBOB_2_45_1,1,1,0
Bi-Objective BBOB_2_45_10,1,0,0
Bi-Objective BBOB_2_45_2,0,1,0
Bi-Objective BBOB_2_45_3,1,0,0
Bi-Objective BBOB_2_45_4,1,1,0
Bi-Objective BBOB_2_45_5,0,1,0
Bi-Objective BBOB_2_45_6,1,1,0
Bi-Objective BBOB_2_45_7,1,1,0
Bi-Objective BBOB_2_45_8,1,0,0
Bi-Objective BBOB_2_45_9,1,1,0
Bi-Objective BBOB_2_46_1,1,1,0
Bi-Objective BBOB_2_46_10,1,1,0
Bi-Objective BBOB_2_46_2,1,1,0
Bi-Objective BBOB_2_46_3,0,1,0
Bi-Objective BBOB_2_46_4,1,1,0
Bi-Objective BBOB_2_46_5,1,1,0
Bi-Objective BBOB_2_46_6,1,1,0
Bi-Objective BBOB_2_46_7,1,1,0
Bi-Objective BBOB_2_46_8,1,1,0
Bi-Objective BBOB_2_46_9,1,1,0
Bi-Objective BBOB_2_47_1,1,1,0
Bi-Objective BBOB_2_47_10,1,1,0
Bi-Objective BBOB_2_47_2,1,1,0
Bi-Objective BBOB_2_47_3,1,1,0
Bi-Objective BBOB_2_47_4,1,1,0
Bi-Objective BBOB_2_47_5,1,1,0
Bi-Objective BBOB_2_47_6,1,1,0
Bi-Objective BBOB_2_47_7,1,1,0
Bi-Objective BBOB_2_47_8,1,1,0
Bi-Objective BBOB_2_47_9,1,1,0
Bi-Objective BBOB_2_48_1,1,1,0
Bi-Objective BBOB_2_48_10,1,1,0
Bi-Objective BBOB_2_48_2,1,1,0
Bi-Objective BBOB_2_48_3,0,1,0
Bi-Objective BBOB_2_48_4,1,1,0
Bi-Objective BBOB_2_48_5,1,1,0
Bi-Objective BBOB_2_48_6,1,1,0
Bi-Objective BBOB_2_48_7,1,0,0
